Player,Age,ERA,G,GS,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Season
Logan Gilbert,27,3.23,33,33,208.2,148,83,75,26,37,1,220,4,0,115,3.27,0.887,6.4,1.1,1.6,9.5,5.95,2024
Seth Lugo,34,3,33,33,206.2,177,75,69,16,48,1,181,9,0,137,3.25,1.089,7.7,0.7,2.1,7.9,3.77,2024
Logan Webb,27,3.47,33,33,204.2,202,83,79,11,50,3,172,2,1,112,2.95,1.231,8.9,0.5,2.2,7.6,3.44,2024
Zack Wheeler,34,2.57,32,32,200,139,62,57,20,52,0,224,8,0,163,3.13,0.955,6.3,0.9,2.3,10.1,4.31,2024
Aaron Nola,31,3.57,33,33,199.1,189,84,79,30,50,0,197,3,0,117,3.94,1.199,8.5,1.4,2.3,8.9,3.94,2024
Corbin Burnes,29,2.92,32,32,194.1,165,76,63,22,48,0,181,2,3,133,3.55,1.096,7.6,1,2.2,8.4,3.77,2024
José Berríos,30,3.6,32,32,192.1,168,79,77,31,54,1,153,13,0,114,4.72,1.154,7.9,1.5,2.5,7.2,2.83,2024
Tarik Skubal*,27,2.39,31,31,192,142,54,51,15,35,0,228,9,0,174,2.49,0.922,6.7,0.7,1.6,10.7,6.51,2024
George Kirby,26,3.53,33,33,191,181,82,75,22,23,0,179,7,1,105,3.26,1.068,8.5,1,1.1,8.4,7.78,2024
Dylan Cease,28,3.47,33,33,189.1,137,80,73,18,65,0,224,2,0,118,3.1,1.067,6.5,0.9,3.1,10.6,3.45,2024
Jake Irvin,27,4.41,33,33,187.2,173,97,92,29,52,1,156,4,1,92,4.41,1.199,8.3,1.4,2.5,7.5,3,2024
Cole Ragans*,26,3.14,32,32,186.1,146,71,65,15,67,1,223,6,0,131,2.99,1.143,7.1,0.7,3.2,10.8,3.33,2024
Pablo López,28,4.08,32,32,185.1,180,90,84,26,41,0,198,8,0,103,3.65,1.192,8.7,1.3,2,9.6,4.83,2024
Kutter Crawford,28,4.36,33,33,183.2,155,97,89,34,51,0,175,9,0,95,4.65,1.122,7.6,1.7,2.5,8.6,3.43,2024
Luis Severino,30,3.91,31,31,182,166,86,79,23,60,0,161,11,2,101,4.21,1.242,8.2,1.1,3,8,2.68,2024
Sean Manaea*,32,3.47,32,32,181.2,134,75,70,21,63,0,184,9,0,114,3.83,1.084,6.6,1,3.1,9.1,2.92,2024
Brandon Pfaadt,25,4.71,32,32,181.2,183,103,95,24,42,1,185,4,0,89,3.61,1.239,9.1,1.2,2.1,9.2,4.4,2024
Cristopher Sánchez*,27,3.32,31,31,181.2,182,76,67,11,44,0,153,0,1,126,3,1.244,9,0.5,2.2,7.6,3.48,2024
Kevin Gausman,33,3.83,31,31,181,165,86,77,20,56,0,162,2,2,107,3.77,1.221,8.2,1,2.8,8.1,2.89,2024
JP Sears*,28,4.38,32,32,180.2,172,93,88,28,49,0,137,14,1,90,4.71,1.223,8.6,1.4,2.4,6.8,2.8,2024
Bryce Miller,25,2.94,31,31,180.1,131,62,59,21,45,1,171,3,0,126,3.58,0.976,6.5,1,2.2,8.5,3.8,2024
Brady Singer,27,3.71,32,32,179.2,175,77,74,22,54,0,170,10,0,111,3.93,1.275,8.8,1.1,2.7,8.5,3.15,2024
Tyler Anderson*,34,3.81,31,31,179.1,158,83,76,24,73,2,142,7,1,110,4.66,1.288,7.9,1.2,3.7,7.1,1.95,2024
Tanner Houck,28,3.12,30,30,178.2,156,75,62,11,48,1,154,16,0,133,3.32,1.142,7.9,0.6,2.4,7.8,3.21,2024
Bailey Ober,28,3.98,31,31,178.2,136,81,79,27,43,0,191,6,0,105,3.82,1.002,6.9,1.4,2.2,9.6,4.44,2024
