Player,Age,ERA,G,GS,IP,H,R,ER,HR,BB,IBB,SO,HBP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Season
Logan Webb,28,3.22,34,34,207,210,82,74,14,46,0,224,6,856,124,2.6,1.237,9.1,0.6,2,9.7,4.87,2025
Garrett Crochet*,26,2.59,32,32,205.1,165,62,59,24,46,0,255,3,814,159,2.89,1.028,7.2,1.1,2,11.2,5.54,2025
Cristopher Sánchez*,28,2.5,32,32,202,171,58,56,12,44,0,212,6,807,176,2.55,1.064,7.6,0.5,2,9.4,4.82,2025
Max Fried*,31,2.86,32,32,195.1,164,73,62,14,51,0,189,10,801,142,3.07,1.101,7.6,0.6,2.3,8.7,3.71,2025
Carlos Rodón*,32,3.09,33,33,195.1,132,74,67,22,73,0,203,9,789,132,3.78,1.049,6.1,1,3.4,9.4,2.78,2025
Tarik Skubal*,28,2.21,31,31,195.1,141,55,48,18,33,0,241,5,748,187,2.45,0.891,6.5,0.8,1.5,11.1,7.3,2025
Kevin Gausman,34,3.59,32,32,193,155,79,77,21,50,2,189,3,775,119,3.41,1.062,7.2,1,2.3,8.8,3.78,2025
Zac Gallen,29,4.83,33,33,192,176,109,103,31,66,1,175,4,813,89,4.5,1.26,8.3,1.5,3.1,8.2,2.65,2025
Framber Valdez*,31,3.66,31,31,192,171,82,78,15,68,0,187,7,802,114,3.37,1.245,8,0.7,3.2,8.8,2.75,2025
Paul Skenes,23,1.97,32,32,187.2,136,45,41,11,42,0,216,6,733,217,2.36,0.948,6.5,0.5,2,10.4,5.14,2025
Bryan Woo,25,2.94,30,30,186.2,137,64,61,26,36,0,198,4,731,128,3.47,0.927,6.6,1.3,1.7,9.5,5.5,2025
Zack Littell,29,3.81,32,32,186.2,174,81,79,36,32,1,130,7,759,111,4.88,1.104,8.4,1.7,1.5,6.3,4.06,2025
Hunter Brown,26,2.43,31,31,185.1,133,55,50,17,57,1,206,7,729,172,3.14,1.025,6.5,0.8,2.8,10,3.61,2025
Merrill Kelly,36,3.52,32,32,184,157,79,72,23,48,0,167,2,748,117,3.76,1.114,7.7,1.1,2.3,8.2,3.48,2025
Jesús Luzardo*,27,3.92,32,32,183.2,167,85,80,16,57,0,216,3,758,112,2.9,1.22,8.2,0.8,2.8,10.6,3.79,2025
Tanner Bibee,26,4.24,31,31,182.1,170,93,86,27,54,1,162,10,762,99,4.34,1.229,8.4,1.3,2.7,8,3,2025
Robbie Ray*,33,3.65,32,32,182.1,148,81,74,22,73,0,186,4,755,109,3.93,1.212,7.3,1.1,3.6,9.2,2.55,2025
Nick Pivetta,32,2.87,31,31,181.2,129,63,58,22,50,1,190,3,721,149,3.49,0.985,6.4,1.1,2.5,9.4,3.8,2025
Luis Castillo,32,3.54,32,32,180.2,168,76,71,23,46,0,162,7,745,107,3.88,1.185,8.4,1.1,2.3,8.1,3.52,2025
Sonny Gray,35,4.28,32,32,180.2,185,93,86,25,38,0,201,3,753,96,3.39,1.234,9.2,1.2,1.9,10,5.29,2025
Jake Irvin,28,5.7,33,33,180,195,120,114,38,62,0,124,6,787,72,5.64,1.428,9.8,1.9,3.1,6.2,2,2025
Matthew Boyd*,34,3.21,31,31,179.2,154,69,64,19,42,0,154,9,718,120,3.65,1.091,7.7,1,2.1,7.7,3.67,2025
Yusei Kikuchi*,34,3.99,33,33,178.1,180,87,79,24,74,3,174,3,772,107,4.23,1.424,9.1,1.2,3.7,8.8,2.35,2025
Freddy Peralta,29,2.7,33,33,176.2,124,54,53,21,66,0,204,9,723,154,3.64,1.075,6.3,1.1,3.4,10.4,3.09,2025
Brandon Pfaadt,26,5.25,33,33,176.2,198,107,103,26,37,2,147,12,767,82,4.22,1.33,10.1,1.3,1.9,7.5,3.97,2025
Mitch Keller,29,4.19,32,32,176.1,171,91,82,21,51,0,150,10,749,102,4.02,1.259,8.7,1.1,2.6,7.7,2.94,2025
Sandy Alcantara,29,5.36,31,31,174.2,165,107,104,22,57,0,142,9,745,82,4.28,1.271,8.5,1.1,2.9,7.3,2.49,2025
Yoshinobu Yamamoto,26,2.49,30,30,173.2,113,53,48,14,59,0,201,3,684,167,2.94,0.99,5.9,0.7,3.1,10.4,3.41,2025
Jacob deGrom,37,2.97,30,30,172.2,122,57,57,26,37,0,185,3,669,123,3.64,0.921,6.4,1.4,1.9,9.6,5,2025
Michael Wacha,33,3.86,31,31,172.2,166,74,74,15,45,0,126,4,716,106,3.66,1.222,8.7,0.8,2.3,6.6,2.8,2025
Dean Kremer,29,4.19,31,29,171.2,163,83,80,22,45,0,142,2,708,96,3.97,1.212,8.5,1.2,2.4,7.4,3.16,2025
Joe Ryan,29,3.42,31,30,171,138,69,65,26,39,0,194,12,689,125,3.74,1.035,7.3,1.4,2.1,10.2,4.97,2025
Jeffrey Springs*,32,4.11,32,30,171,153,90,78,28,54,0,138,3,713,102,4.65,1.211,8.1,1.5,2.8,7.3,2.56,2025
Chris Bassitt,36,3.96,32,31,170.1,174,80,75,22,52,0,166,13,736,108,4.01,1.327,9.2,1.2,2.7,8.8,3.19,2025
Brady Singer,28,4.03,32,32,169.2,150,80,76,19,60,0,163,14,716,113,3.98,1.238,8,1,3.2,8.6,2.72,2025
José Soriano,26,4.26,31,31,169,158,89,80,12,78,0,152,5,724,100,3.73,1.396,8.4,0.6,4.2,8.1,1.95,2025
David Peterson*,29,4.22,30,30,168.2,166,84,79,11,65,1,150,7,723,95,3.48,1.37,8.9,0.6,3.5,8,2.31,2025
Dylan Cease,29,4.55,32,32,168,152,91,85,21,71,2,215,5,722,94,3.56,1.327,8.1,1.1,3.8,11.5,3.03,2025
Ryan Pepiot,27,3.86,31,31,167.2,134,77,72,26,61,0,167,6,679,106,4.36,1.163,7.2,1.4,3.3,9,2.74,2025
Gavin Williams,25,3.06,31,31,167.2,130,62,57,23,83,0,173,3,704,137,4.39,1.27,7,1.2,4.5,9.3,2.08,2025
Brayan Bello,26,3.35,29,28,166.2,147,71,62,16,59,0,124,13,700,123,4.19,1.236,7.9,0.9,3.2,6.7,2.1,2025
Andrew Abbott*,26,2.87,29,29,166.1,148,60,53,19,43,0,149,3,684,159,3.66,1.148,8,1,2.3,8.1,3.47,2025
Shane Baz,26,4.87,31,31,166.1,158,91,90,26,64,0,176,9,711,84,4.37,1.335,8.5,1.4,3.5,9.5,2.75,2025
José Berríos,31,4.17,31,30,166,160,86,77,26,56,2,138,7,698,102,4.65,1.301,8.7,1.4,3,7.5,2.46,2025
Clay Holmes,32,3.53,33,31,165.2,150,74,65,14,66,0,129,13,708,114,4.11,1.304,8.1,0.8,3.6,7,1.95,2025
Nick Martinez,34,4.45,40,26,165.2,158,86,82,22,42,1,116,6,683,103,4.33,1.207,8.6,1.2,2.3,6.3,2.76,2025
Kyle Hendricks,35,4.76,31,31,164.2,167,92,87,25,43,3,114,5,695,90,4.6,1.275,9.1,1.4,2.4,6.2,2.65,2025
Mitchell Parker*,25,5.68,33,30,164.2,178,116,104,25,58,0,103,4,725,72,4.99,1.433,9.7,1.4,3.2,5.6,1.78,2025
Kyle Freeland*,32,4.98,31,31,162.2,193,105,90,22,38,2,124,6,709,98,4.18,1.42,10.7,1.2,2.1,6.9,3.26,2025
Andre Pallante,26,5.31,31,31,162.2,173,109,96,21,62,0,111,5,715,77,4.68,1.445,9.6,1.2,3.4,6.1,1.79,2025
Luis Severino,31,4.54,29,29,162.2,162,93,82,16,50,1,124,16,705,92,4.11,1.303,9,0.9,2.8,6.9,2.48,2025
Will Warren,26,4.44,33,33,162.1,158,90,80,22,65,0,171,4,711,92,4.07,1.374,8.8,1.2,3.6,9.5,2.63,2025
Jack Flaherty,29,4.64,31,31,161,147,85,83,23,59,1,188,5,681,89,3.85,1.28,8.2,1.3,3.3,10.5,3.19,2025
MacKenzie Gore*,26,4.17,30,30,159.2,152,75,74,20,64,0,185,5,680,98,3.74,1.353,8.6,1.1,3.6,10.4,2.89,2025
Colin Rea,34,3.95,32,27,159.1,155,73,70,20,44,0,127,6,662,97,4.11,1.249,8.8,1.1,2.5,7.2,2.89,2025
Chris Paddack,29,5.35,33,28,158,166,98,94,31,37,0,112,3,670,79,5.03,1.285,9.5,1.8,2.1,6.4,3.03,2025
Quinn Priester,24,3.32,29,24,157.1,145,62,58,18,50,0,132,6,653,125,4.01,1.239,8.3,1,2.9,7.6,2.64,2025
Ranger Suárez*,29,3.2,26,26,157.1,154,57,56,14,38,0,151,6,651,137,3.21,1.22,8.8,0.8,2.2,8.6,3.97,2025
Tomoyuki Sugano,35,4.64,30,30,157,173,85,81,33,36,2,106,8,675,87,5.36,1.331,9.9,1.9,2.1,6.1,2.94,2025
Logan Allen*,26,4.25,30,29,156.2,157,84,74,18,62,1,122,6,676,98,4.37,1.398,9,1,3.6,7,1.97,2025
Nick Lodolo*,27,3.33,29,28,156.2,138,60,58,22,31,1,156,13,642,137,3.81,1.079,7.9,1.3,1.8,9,5.03,2025
Bryce Elder,26,5.3,28,28,156.1,167,95,92,24,51,1,131,6,679,78,4.55,1.394,9.6,1.4,2.9,7.5,2.57,2025
